1 , 5 , Angela , 150000 , 1 , 0
2 , 5 , James , 200000 , 2 , 3
3 , 5 , Juan , 225000 , 1 , 2
4 , 5 , Sava , 130258 , 3 , 1
5 , 5 , Michael , 500000 , 2 , 0
1 , 4 , Nass , 875689 , 1 , 3
2 , 4 , Brian , 100000 , 3 , 1
3 , 4 , Jose , 500000 , 1 , 1
4 , 4 , Steve , 753159 , 3 , 2
5 , 4 , Teri , 654258 , 1 , 1
1 , 3 , Justing , 132564 , 2 , 3
2 , 3 , Jay , 546852 , 1 , 2
3 , 3 , Angela , 852645 , 3 , 3
4 , 3 , Jamees , 100235 , 1 , 0
5 , 3 , Juan , 100528 , 2 , 1
1 , 2 , Brian , 547856 , 3 , 2
2 , 2 , Sava , 547213 , 1 , 3
3 , 2 , Teri , 654258 , 1 , 1
4 , 2 , Michael , 509200 , 2 , 0
5 , 2 , Nass , 875689 , 1 , 3
1 , 1 , James , 867532 , 2 , 0
2 , 1 , Cleave , 546852 , 2 , 2
3 , 1 , Brandon , 100258 , 2 , 0
4 , 1 , Stark , 254256 , 1 , 1
5 , 1 , John , 753256 , 1 , 2
